booth,constituency,party,votes,registered
B001,North District,Party A,1250,5000
B001,North District,Party B,980,5000
B001,North District,Party C,450,5000
B002,North District,Party A,1100,4500
B002,North District,Party B,1200,4500
B002,North District,Party C,380,4500
B003,North District,Party A,890,3800
B003,North District,Party B,950,3800
B003,North District,Party C,420,3800
B004,South District,Party A,2100,6000
B004,South District,Party B,1850,6000
B004,South District,Party C,920,6000
B005,South District,Party A,1950,5500
B005,South District,Party B,1720,5500
B005,South District,Party C,780,5500
B006,East District,Party A,1400,4800
B006,East District,Party B,1650,4800
B006,East District,Party C,1100,4800
B007,East District,Party A,1550,5200
B007,East District,Party B,1800,5200
B007,East District,Party C,1050,5200
B008,West District,Party A,980,3500
B008,West District,Party B,1120,3500
B008,West District,Party C,890,3500
B009,West District,Party A,1050,4000
B009,West District,Party B,1200,4000
B009,West District,Party C,920,4000
B010,Central District,Party A,2200,7000
B010,Central District,Party B,2050,7000
B010,Central District,Party C,1850,7000
B011,Central District,Party A,2100,6500
B011,Central District,Party B,1950,6500
B011,Central District,Party C,1700,6500
